ID; LAT.GRAUS; LONG.GRAUS; LAT.RAD; LONG.RAD
1207528695;40.92781;-8.256233;-0.1440985;0.7143251
1207528698;40.92798;-8.25396;-0.1440588;0.7143281
1207528707;40.92802;-8.253532;-0.1440513;0.7143288
1207528708;40.92765;-8.25839;-0.1441361;0.7143222
1207528725;40.92759;-8.259324;-0.1441524;0.7143212
1207528737;40.92832;-8.249201;-0.1439757;0.714334
1207528742;40.9282;-8.250805;-0.1440037;0.7143319
1207528747;40.92811;-8.251899;-0.1440228;0.7143303
1207528762;40.92791;-8.254939;-0.1440759;0.7143268
1207590714;40.92781;-8.24951;-0.1439811;0.7143251
1207592221;40.92632;-8.249381;-0.1439789;0.7142991
1207592772;40.9279;-8.249309;-0.1439776;0.7143266
1207594023;40.9276;-8.249496;-0.1439809;0.7143213
1207594067;40.92793;-8.249028;-0.1439727;0.7143271
1207594149;40.92709;-8.249434;-0.1439798;0.7143124
1207711160;40.92619;-8.249346;-0.1439782;0.7142968
1207711162;40.92609;-8.249331;-0.143978;0.714295
1207711164;40.92833;-8.248891;-0.1439703;0.7143342
1207711171;40.92794;-8.248887;-0.1439702;0.7143274
1207730095;40.92851;-8.253634;-0.1440531;0.7143372
1207730125;40.92866;-8.253567;-0.1440519;0.7143399
1207730129;40.92811;-8.253448;-0.1440499;0.7143303
1207730168;40.92803;-8.253382;-0.1440487;0.7143289
1207730173;40.92859;-8.253584;-0.1440522;0.7143385
1207730206;40.92831;-8.253535;-0.1440514;0.7143338
1207730289;40.92801;-8.253674;-0.1440538;0.7143286
1207730355;40.92834;-8.2536;-0.1440525;0.7143344
1207730357;40.92822;-8.253571;-0.144052;0.7143321
1207730362;40.92847;-8.253568;-0.1440519;0.7143365
1207730386;40.9286;-8.253667;-0.1440537;0.7143389
1207730399;40.92865;-8.253685;-0.144054;0.7143398
1207730431;40.92818;-8.253506;-0.1440509;0.7143314
1207730438;40.92815;-8.253575;-0.1440521;0.7143309
1207730441;40.92758;-8.259711;-0.1441592;0.714321
1214900427;40.92635;-8.253806;-0.1440561;0.7142996
1214900429;40.92634;-8.253522;-0.1440511;0.7142994
