ID; lat; long; latRad; longRad
137199528;36.21995;-115.188;-2.010409;0.6321573
137199530;36.22009;-115.1886;-2.01042;0.6321598
137222679;36.21913;-115.1858;-2.010371;0.632143
137222683;36.2191;-115.1865;-2.010384;0.6321425
137222686;36.21909;-115.1872;-2.010396;0.6321424
137222690;36.2191;-115.1879;-2.010409;0.6321426
137239591;36.22478;-115.1643;-2.009996;0.6322417
137240450;36.24222;-115.171;-2.010113;0.6325461
137251025;36.22972;-115.171;-2.010113;0.632328
137261608;36.22119;-115.1811;-2.010289;0.632179
137261612;36.22189;-115.1811;-2.010289;0.6321912
137261614;36.22257;-115.1811;-2.010289;0.6322032
137261618;36.22302;-115.1811;-2.010289;0.632211
137262738;36.22185;-115.1873;-2.010397;0.6321906
137262740;36.22433;-115.1874;-2.010399;0.6322339
137287995;36.22467;-115.2075;-2.01075;0.6322397
137299767;36.22528;-115.1821;-2.010307;0.6322504
137300299;36.22594;-115.1844;-2.010347;0.6322619
137304223;36.23017;-115.171;-2.010113;0.6323357
137305728;36.20656;-115.1699;-2.010094;0.6319237
137305958;36.22469;-115.204;-2.010689;0.6322402
137307760;36.25296;-115.1709;-2.010111;0.6327336
137310340;36.2302;-115.1802;-2.010273;0.6323363
137318097;36.23388;-115.1711;-2.010114;0.6324005
137318604;36.22257;-115.1819;-2.010304;0.6322031
137318607;36.22256;-115.1833;-2.010328;0.632203
137319792;36.22116;-115.1842;-2.010343;0.6321785
137319795;36.22187;-115.1842;-2.010344;0.6321908
137319798;36.22296;-115.1843;-2.010345;0.6322099
137319806;36.22481;-115.1843;-2.010346;0.6322421
137319808;36.22527;-115.1843;-2.010346;0.6322502
137319812;36.22663;-115.1844;-2.010347;0.6322739
137319815;36.22842;-115.1845;-2.010349;0.6323051
137319818;36.22912;-115.1845;-2.01035;0.6323174
137319821;36.23103;-115.1847;-2.010352;0.6323507
137319823;36.23204;-115.1848;-2.010353;0.6323683
137334463;36.22247;-115.1735;-2.010157;0.6322013
137334466;36.22249;-115.1736;-2.010159;0.6322017
137334469;36.22249;-115.1741;-2.010167;0.6322017
137334470;36.22246;-115.1742;-2.010169;0.6322012
137345680;36.22123;-115.1734;-2.010155;0.6321797
137345683;36.22238;-115.1735;-2.010157;0.6321998
137345685;36.22242;-115.1735;-2.010157;0.6322005
137346034;36.25422;-115.1709;-2.010112;0.6327554
137349778;36.24851;-115.1709;-2.010111;0.6326559
137389991;36.21762;-115.1767;-2.010213;0.6321168
137389994;36.21951;-115.1768;-2.010214;0.6321496
137390000;36.22132;-115.1768;-2.010215;0.6321813
137390002;36.22312;-115.1769;-2.010217;0.6322127
137390004;36.22483;-115.177;-2.010218;0.6322426
137411761;36.25639;-115.1709;-2.010112;0.6327934
137417383;36.21765;-115.1703;-2.010101;0.6321172
137417385;36.21763;-115.1749;-2.010181;0.6321169
137417387;36.21763;-115.1758;-2.010197;0.6321169
137417389;36.21761;-115.1776;-2.010228;0.6321166
137417391;36.21761;-115.1785;-2.010244;0.6321164
137417393;36.2176;-115.1795;-2.010261;0.6321164
137417394;36.21756;-115.1839;-2.010339;0.6321157
137417398;36.21753;-115.1884;-2.010417;0.6321151
137420333;36.26173;-115.1709;-2.010112;0.6328865
137427945;36.20295;-115.1698;-2.010092;0.6318607
137431687;36.22187;-115.185;-2.010358;0.6321908
137431690;36.22237;-115.185;-2.010358;0.6321997
137433283;36.22483;-115.1776;-2.010227;0.6322426
137433286;36.2269;-115.1776;-2.010229;0.6322787
137433289;36.22837;-115.1777;-2.01023;0.6323044
137433290;36.23198;-115.1779;-2.010233;0.6323674
137433829;36.21955;-115.175;-2.010182;0.6321504
137433831;36.22137;-115.1751;-2.010184;0.6321822
137433835;36.22318;-115.1752;-2.010186;0.6322137
137433838;36.22482;-115.1752;-2.010187;0.6322424
137433841;36.22836;-115.1754;-2.01019;0.6323042
137433853;36.23198;-115.1756;-2.010194;0.6323674
137438685;36.23199;-115.1802;-2.010274;0.6323676
137438695;36.23195;-115.171;-2.010114;0.6323669
137443479;36.22186;-115.1864;-2.010382;0.6321906
137443482;36.22294;-115.1865;-2.010384;0.6322096
137443485;36.22434;-115.1866;-2.010385;0.632234
137443488;36.22481;-115.1866;-2.010385;0.6322421
137443751;36.20517;-115.1699;-2.010093;0.6318994
137443754;36.20793;-115.17;-2.010095;0.6319476
137443757;36.21018;-115.17;-2.010097;0.6319869
137443759;36.21392;-115.1702;-2.010099;0.6320521
137443763;36.22123;-115.1706;-2.010106;0.6321798
137443772;36.22481;-115.1708;-2.010109;0.6322422
137443775;36.22659;-115.1708;-2.01011;0.6322733
137443778;36.2357;-115.1711;-2.010115;0.6324322
137443780;36.23738;-115.1711;-2.010115;0.6324615
137443782;36.23772;-115.1711;-2.010115;0.6324674
137443783;36.23952;-115.1711;-2.010115;0.632499
137443785;36.24306;-115.171;-2.010113;0.6325607
137443788;36.2467;-115.1708;-2.01011;0.6326242
137443791;36.24937;-115.1709;-2.010111;0.6326709
137443794;36.2508;-115.1709;-2.010111;0.6326959
137443797;36.25206;-115.1709;-2.010111;0.6327178
137443800;36.25795;-115.1709;-2.010112;0.6328207
137451311;36.22472;-115.2003;-2.010624;0.6322406
137462339;36.22258;-115.1802;-2.010273;0.6322032
137472938;36.22106;-115.1975;-2.010576;0.6321767
137488677;36.2185;-115.184;-2.010339;0.6321321
137488681;36.21849;-115.1844;-2.010346;0.632132
137491208;36.22478;-115.1907;-2.010457;0.6322418
137494729;36.22481;-115.1616;-2.009949;0.6322422
137494734;36.22477;-115.1633;-2.009978;0.6322415
137494736;36.22477;-115.1657;-2.01002;0.6322414
137494738;36.22474;-115.1665;-2.010034;0.632241
137494740;36.22482;-115.168;-2.01006;0.6322423
137494742;36.22488;-115.1688;-2.010075;0.6322435
137494744;36.22486;-115.1694;-2.010085;0.6322431
137494746;36.22483;-115.1701;-2.010097;0.6322426
137494757;36.2248;-115.173;-2.010148;0.632242
137494761;36.22484;-115.1761;-2.010202;0.6322427
137494764;36.22483;-115.1779;-2.010234;0.6322426
137494770;36.22483;-115.1788;-2.01025;0.6322425
137494776;36.22482;-115.1798;-2.010267;0.6322424
137494783;36.22483;-115.1821;-2.010307;0.6322426
137494784;36.22482;-115.1876;-2.010403;0.6322424
137494787;36.22481;-115.1889;-2.010425;0.6322421
137494790;36.2248;-115.1894;-2.010434;0.632242
137494793;36.22478;-115.1921;-2.010482;0.6322416
137494796;36.22477;-115.1934;-2.010503;0.6322415
137494799;36.22477;-115.1951;-2.010534;0.6322414
137494802;36.22475;-115.1978;-2.010581;0.6322411
137494808;36.2247;-115.2026;-2.010664;0.6322403
137527143;36.22126;-115.17;-2.010096;0.6321802
137527918;36.22075;-115.1873;-2.010398;0.6321714
137527921;36.22047;-115.1873;-2.010397;0.6321664
137527926;36.2201;-115.1872;-2.010396;0.63216
137527929;36.21979;-115.1872;-2.010396;0.6321546
137527932;36.21941;-115.1872;-2.010396;0.6321479
137527963;36.2229;-115.1888;-2.010423;0.6322088
137527988;36.22314;-115.176;-2.010201;0.6322131
137527990;36.22309;-115.1778;-2.010232;0.6322122
